country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Kuwait,KW,KWT,414,Out-of-school rate for youth of upper secondary school age (administrative data),2015,18.29435,Total,,%,,,,Total
Kyrgyzstan,KG,KGZ,417,Out-of-school rate for youth of upper secondary school age (administrative data),2020,25.04646,Female,,%,,,,Total
Kyrgyzstan,KG,KGZ,417,Out-of-school rate for youth of upper secondary school age (administrative data),2020,29.50435,Male,,%,,,,Total
Kyrgyzstan,KG,KGZ,417,Out-of-school rate for youth of upper secondary school age (administrative data),2020,27.31786,Total,,%,,,,Total
Lao People's Democratic Republic,LA,LAO,418,Out-of-school rate for youth of upper secondary school age (administrative data),2020,49.3581,Female,,%,,,,Total
Lao People's Democratic Republic,LA,LAO,418,Out-of-school rate for youth of upper secondary school age (administrative data),2020,45.19354,Male,,%,,,,Total
Lao People's Democratic Republic,LA,LAO,418,Out-of-school rate for youth of upper secondary school age (administrative data),2020,47.24744,Total,,%,,,,Total
Latvia,LV,LVA,428,Out-of-school rate for youth of upper secondary school age (administrative data),2019,3.78976,Female,,%,,,,Total
Latvia,LV,LVA,428,Out-of-school rate for youth of upper secondary school age (administrative data),2019,5.73295,Male,,%,,,,Total
Latvia,LV,LVA,428,Out-of-school rate for youth of upper secondary school age (administrative data),2019,4.779,Total,,%,,,,Total
Lesotho,LS,LSO,426,Out-of-school rate for youth of upper secondary school age (administrative data),2016,29.40574,Female,,%,,,,Total
Lesotho,LS,LSO,426,Out-of-school rate for youth of upper secondary school age (administrative data),2016,38.36854,Male,,%,,,,Total
Lesotho,LS,LSO,426,Out-of-school rate for youth of upper secondary school age (administrative data),2016,33.91721,Total,,%,,,,Total
Liberia,LR,LBR,430,Out-of-school rate for youth of upper secondary school age (administrative data),2014,31.10813,Female,,%,,,,Total
Liberia,LR,LBR,430,Out-of-school rate for youth of upper secondary school age (administrative data),2014,20.06859,Male,,%,,,,Total
Liberia,LR,LBR,430,Out-of-school rate for youth of upper secondary school age (administrative data),2014,25.53206,Total,,%,,,,Total
Liechtenstein,LI,LIE,438,Out-of-school rate for youth of upper secondary school age (administrative data),2019,16.00688,Female,,%,,,,Total
Liechtenstein,LI,LIE,438,Out-of-school rate for youth of upper secondary school age (administrative data),2019,2.08333,Male,,%,,,,Total
Liechtenstein,LI,LIE,438,Out-of-school rate for youth of upper secondary school age (administrative data),2019,8.79668,Total,,%,,,,Total
Lithuania,LT,LTU,440,Out-of-school rate for youth of upper secondary school age (administrative data),2019,1.99241,Female,,%,,,,Total
Lithuania,LT,LTU,440,Out-of-school rate for youth of upper secondary school age (administrative data),2019,3.54774,Male,,%,,,,Total
Lithuania,LT,LTU,440,Out-of-school rate for youth of upper secondary school age (administrative data),2019,2.78886,Total,,%,,,,Total
Luxembourg,LU,LUX,442,Out-of-school rate for youth of upper secondary school age (administrative data),2019,17.30769,Female,,%,,,,Total
Luxembourg,LU,LUX,442,Out-of-school rate for youth of upper secondary school age (administrative data),2019,20.65248,Male,,%,,,,Total
Luxembourg,LU,LUX,442,Out-of-school rate for youth of upper secondary school age (administrative data),2019,19.03034,Total,,%,,,,Total
Madagascar,MG,MDG,450,Out-of-school rate for youth of upper secondary school age (administrative data),2019,64.33631,Female,,%,,,,Total
Madagascar,MG,MDG,450,Out-of-school rate for youth of upper secondary school age (administrative data),2019,63.2431,Male,,%,,,,Total
Madagascar,MG,MDG,450,Out-of-school rate for youth of upper secondary school age (administrative data),2019,63.78891,Total,,%,,,,Total
Malawi,MW,MWI,454,Out-of-school rate for youth of upper secondary school age (administrative data),2019,75.79324,Female,,%,,,,Total
Malawi,MW,MWI,454,Out-of-school rate for youth of upper secondary school age (administrative data),2019,62.09486,Male,,%,,,,Total
Malawi,MW,MWI,454,Out-of-school rate for youth of upper secondary school age (administrative data),2019,68.95038,Total,,%,,,,Total
Malaysia,MY,MYS,458,Out-of-school rate for youth of upper secondary school age (administrative data),2020,36.69985,Female,,%,,,,Total
Malaysia,MY,MYS,458,Out-of-school rate for youth of upper secondary school age (administrative data),2020,42.13582,Male,,%,,,,Total
Malaysia,MY,MYS,458,Out-of-school rate for youth of upper secondary school age (administrative data),2020,39.50272,Total,,%,,,,Total
Maldives,MV,MDV,462,Out-of-school rate for youth of upper secondary school age (administrative data),2019,44.48059,Female,,%,,,,Total
Maldives,MV,MDV,462,Out-of-school rate for youth of upper secondary school age (administrative data),2019,55.29095,Male,,%,,,,Total
Maldives,MV,MDV,462,Out-of-school rate for youth of upper secondary school age (administrative data),2019,50.0395,Total,,%,,,,Total
Mali,ML,MLI,466,Out-of-school rate for youth of upper secondary school age (administrative data),2018,78.91945,Female,,%,,,,Total
Mali,ML,MLI,466,Out-of-school rate for youth of upper secondary school age (administrative data),2018,71.43306,Male,,%,,,,Total
Mali,ML,MLI,466,Out-of-school rate for youth of upper secondary school age (administrative data),2018,75.13049,Total,,%,,,,Total
Malta,MT,MLT,470,Out-of-school rate for youth of upper secondary school age (administrative data),2019,6.8575,Female,,%,,,,Total
Malta,MT,MLT,470,Out-of-school rate for youth of upper secondary school age (administrative data),2019,9.69776,Male,,%,,,,Total
Malta,MT,MLT,470,Out-of-school rate for youth of upper secondary school age (administrative data),2019,8.30951,Total,,%,,,,Total
Marshall Islands,MH,MHL,584,Out-of-school rate for youth of upper secondary school age (administrative data),2020,40.98139,Female,,%,,,,Total
Marshall Islands,MH,MHL,584,Out-of-school rate for youth of upper secondary school age (administrative data),2020,45.73191,Male,,%,,,,Total
Marshall Islands,MH,MHL,584,Out-of-school rate for youth of upper secondary school age (administrative data),2020,43.40623,Total,,%,,,,Total
Mauritania,MR,MRT,478,Out-of-school rate for youth of upper secondary school age (administrative data),2019,58.78367,Female,,%,,,,Total
Mauritania,MR,MRT,478,Out-of-school rate for youth of upper secondary school age (administrative data),2019,63.07117,Male,,%,,,,Total
Mauritania,MR,MRT,478,Out-of-school rate for youth of upper secondary school age (administrative data),2019,60.95711,Total,,%,,,,Total
Mauritius,MU,MUS,480,Out-of-school rate for youth of upper secondary school age (administrative data),2021,17.47775,Female,,%,,,,Total
Mauritius,MU,MUS,480,Out-of-school rate for youth of upper secondary school age (administrative data),2021,26.02995,Male,,%,,,,Total
Mauritius,MU,MUS,480,Out-of-school rate for youth of upper secondary school age (administrative data),2021,21.83886,Total,,%,,,,Total
Mexico,MX,MEX,484,Out-of-school rate for youth of upper secondary school age (administrative data),2019,24.5667,Female,,%,,,,Total
Mexico,MX,MEX,484,Out-of-school rate for youth of upper secondary school age (administrative data),2019,28.67629,Male,,%,,,,Total
Mexico,MX,MEX,484,Out-of-school rate for youth of upper secondary school age (administrative data),2019,26.65224,Total,,%,,,,Total
Mongolia,MN,MNG,496,Out-of-school rate for youth of upper secondary school age (administrative data),2019,8.74464,Female,,%,,,,Total
Mongolia,MN,MNG,496,Out-of-school rate for youth of upper secondary school age (administrative data),2019,14.87737,Male,,%,,,,Total
Mongolia,MN,MNG,496,Out-of-school rate for youth of upper secondary school age (administrative data),2019,11.83761,Total,,%,,,,Total
Montenegro,ME,MNE,499,Out-of-school rate for youth of upper secondary school age (administrative data),2020,10.23907,Female,,%,,,,Total
Montenegro,ME,MNE,499,Out-of-school rate for youth of upper secondary school age (administrative data),2020,13.12744,Male,,%,,,,Total
Montenegro,ME,MNE,499,Out-of-school rate for youth of upper secondary school age (administrative data),2020,11.75157,Total,,%,,,,Total
Montserrat,MS,MSR,500,Out-of-school rate for youth of upper secondary school age (administrative data),2019,16.15385,Total,,%,,,,Total
Morocco,MA,MAR,504,Out-of-school rate for youth of upper secondary school age (administrative data),2020,26.79821,Female,,%,,,,Total
Morocco,MA,MAR,504,Out-of-school rate for youth of upper secondary school age (administrative data),2020,24.05953,Male,,%,,,,Total
Morocco,MA,MAR,504,Out-of-school rate for youth of upper secondary school age (administrative data),2020,25.39753,Total,,%,,,,Total
Mozambique,MZ,MOZ,508,Out-of-school rate for youth of upper secondary school age (administrative data),2020,65.88975,Female,,%,,,,Total
Mozambique,MZ,MOZ,508,Out-of-school rate for youth of upper secondary school age (administrative data),2020,56.58483,Male,,%,,,,Total
Mozambique,MZ,MOZ,508,Out-of-school rate for youth of upper secondary school age (administrative data),2020,61.26224,Total,,%,,,,Total
Myanmar,MM,MMR,104,Out-of-school rate for youth of upper secondary school age (administrative data),2018,38.39902,Female,,%,,,,Total
Myanmar,MM,MMR,104,Out-of-school rate for youth of upper secondary school age (administrative data),2018,46.89922,Male,,%,,,,Total
Myanmar,MM,MMR,104,Out-of-school rate for youth of upper secondary school age (administrative data),2018,42.65935,Total,,%,,,,Total
Namibia,,NAM,516,Out-of-school rate for youth of upper secondary school age (administrative data),2019,23.26538,Female,,%,,,,Total
Namibia,,NAM,516,Out-of-school rate for youth of upper secondary school age (administrative data),2019,22.00246,Male,,%,,,,Total
Namibia,,NAM,516,Out-of-school rate for youth of upper secondary school age (administrative data),2019,22.63805,Total,,%,,,,Total
Nauru,NR,NRU,520,Out-of-school rate for youth of upper secondary school age (administrative data),2016,60.10101,Female,,%,,,,Total
Nauru,NR,NRU,520,Out-of-school rate for youth of upper secondary school age (administrative data),2016,51.51515,Male,,%,,,,Total
Nauru,NR,NRU,520,Out-of-school rate for youth of upper secondary school age (administrative data),2019,5.26316,Total,,%,,,,Total
Nepal,NP,NPL,524,Out-of-school rate for youth of upper secondary school age (administrative data),2019,12.69271,Female,,%,,,,Total
Nepal,NP,NPL,524,Out-of-school rate for youth of upper secondary school age (administrative data),2019,25.82674,Male,,%,,,,Total
Nepal,NP,NPL,524,Out-of-school rate for youth of upper secondary school age (administrative data),2019,19.3217,Total,,%,,,,Total
Netherlands,NL,NLD,528,Out-of-school rate for youth of upper secondary school age (administrative data),2019,0.48169,Female,,%,,,,Total
Netherlands,NL,NLD,528,Out-of-school rate for youth of upper secondary school age (administrative data),2019,1.25868,Male,,%,,,,Total
Netherlands,NL,NLD,528,Out-of-school rate for youth of upper secondary school age (administrative data),2019,0.8805,Total,,%,,,,Total
New Zealand,NZ,NZL,554,Out-of-school rate for youth of upper secondary school age (administrative data),2018,0.7957,Female,,%,,,,Total
New Zealand,NZ,NZL,554,Out-of-school rate for youth of upper secondary school age (administrative data),2018,4.01501,Male,,%,,,,Total
New Zealand,NZ,NZL,554,Out-of-school rate for youth of upper secondary school age (administrative data),2019,1.04923,Total,,%,,,,Total
Niger,NE,NER,562,Out-of-school rate for youth of upper secondary school age (administrative data),2017,88.8841,Female,,%,,,,Total
Niger,NE,NER,562,Out-of-school rate for youth of upper secondary school age (administrative data),2017,83.51093,Male,,%,,,,Total
Niger,NE,NER,562,Out-of-school rate for youth of upper secondary school age (administrative data),2017,86.14805,Total,,%,,,,Total
Niue,NU,NIU,570,Out-of-school rate for youth of upper secondary school age (administrative data),2014,8.94309,Total,,%,,,,Total
Norway,NO,NOR,578,Out-of-school rate for youth of upper secondary school age (administrative data),2019,7.86672,Female,,%,,,,Total
Norway,NO,NOR,578,Out-of-school rate for youth of upper secondary school age (administrative data),2019,8.48052,Male,,%,,,,Total
Norway,NO,NOR,578,Out-of-school rate for youth of upper secondary school age (administrative data),2019,8.18122,Total,,%,,,,Total
Oman,OM,OMN,512,Out-of-school rate for youth of upper secondary school age (administrative data),2018,16.8588,Female,,%,,,,Total
Oman,OM,OMN,512,Out-of-school rate for youth of upper secondary school age (administrative data),2018,7.65545,Male,,%,,,,Total
Oman,OM,OMN,512,Out-of-school rate for youth of upper secondary school age (administrative data),2019,9.89244,Total,,%,,,,Total
Panama,PA,PAN,591,Out-of-school rate for youth of upper secondary school age (administrative data),2015,30.83011,Female,,%,,,,Total
Panama,PA,PAN,591,Out-of-school rate for youth of upper secondary school age (administrative data),2015,35.45599,Male,,%,,,,Total
Panama,PA,PAN,591,Out-of-school rate for youth of upper secondary school age (administrative data),2015,33.18219,Total,,%,,,,Total
Papua New Guinea,PG,PNG,598,Out-of-school rate for youth of upper secondary school age (administrative data),2018,60.19473,Female,,%,,,,Total
Papua New Guinea,PG,PNG,598,Out-of-school rate for youth of upper secondary school age (administrative data),2018,50.14269,Male,,%,,,,Total
Papua New Guinea,PG,PNG,598,Out-of-school rate for youth of upper secondary school age (administrative data),2018,55.01612,Total,,%,,,,Total
Paraguay,PY,PRY,600,Out-of-school rate for youth of upper secondary school age (administrative data),2020,28.1502,Female,,%,,,,Total
Paraguay,PY,PRY,600,Out-of-school rate for youth of upper secondary school age (administrative data),2020,31.83996,Male,,%,,,,Total
Paraguay,PY,PRY,600,Out-of-school rate for youth of upper secondary school age (administrative data),2020,30.03612,Total,,%,,,,Total
Peru,PE,PER,604,Out-of-school rate for youth of upper secondary school age (administrative data),2018,21.04037,Female,,%,,,,Total
Peru,PE,PER,604,Out-of-school rate for youth of upper secondary school age (administrative data),2018,15.30081,Male,,%,,,,Total
Peru,PE,PER,604,Out-of-school rate for youth of upper secondary school age (administrative data),2020,3.69842,Total,,%,,,,Total
Philippines,PH,PHL,608,Out-of-school rate for youth of upper secondary school age (administrative data),2015,17.06299,Female,,%,,,,Total
Philippines,PH,PHL,608,Out-of-school rate for youth of upper secondary school age (administrative data),2015,23.72598,Male,,%,,,,Total
Philippines,PH,PHL,608,Out-of-school rate for youth of upper secondary school age (administrative data),2015,20.49709,Total,,%,,,,Total
Poland,PL,POL,616,Out-of-school rate for youth of upper secondary school age (administrative data),2019,2.47432,Female,,%,,,,Total
Poland,PL,POL,616,Out-of-school rate for youth of upper secondary school age (administrative data),2019,2.16844,Male,,%,,,,Total
Poland,PL,POL,616,Out-of-school rate for youth of upper secondary school age (administrative data),2019,2.31865,Total,,%,,,,Total
Portugal,PT,PRT,620,Out-of-school rate for youth of upper secondary school age (administrative data),2019,0.26422,Total,,%,,,,Total
South Korea,KR,KOR,410,Out-of-school rate for youth of upper secondary school age (administrative data),2019,7.66587,Female,,%,,,,Total
South Korea,KR,KOR,410,Out-of-school rate for youth of upper secondary school age (administrative data),2019,7.26356,Male,,%,,,,Total
South Korea,KR,KOR,410,Out-of-school rate for youth of upper secondary school age (administrative data),2019,7.45632,Total,,%,,,,Total
"Moldova, Republic of",MD,MDA,498,Out-of-school rate for youth of upper secondary school age (administrative data),2020,11.643,Female,,%,,,,Total
"Moldova, Republic of",MD,MDA,498,Out-of-school rate for youth of upper secondary school age (administrative data),2020,12.90962,Male,,%,,,,Total
"Moldova, Republic of",MD,MDA,498,Out-of-school rate for youth of upper secondary school age (administrative data),2020,12.29853,Total,,%,,,,Total
Romania,RO,ROU,642,Out-of-school rate for youth of upper secondary school age (administrative data),2019,19.07057,Female,,%,,,,Total
Romania,RO,ROU,642,Out-of-school rate for youth of upper secondary school age (administrative data),2019,21.29803,Male,,%,,,,Total
Romania,RO,ROU,642,Out-of-school rate for youth of upper secondary school age (administrative data),2019,20.21641,Total,,%,,,,Total
Russian Federation,RU,RUS,643,Out-of-school rate for youth of upper secondary school age (administrative data),2019,2.09122,Female,,%,,,,Total
Russian Federation,RU,RUS,643,Out-of-school rate for youth of upper secondary school age (administrative data),2019,2.84628,Male,,%,,,,Total
Russian Federation,RU,RUS,643,Out-of-school rate for youth of upper secondary school age (administrative data),2019,2.47727,Total,,%,,,,Total
Rwanda,RW,RWA,646,Out-of-school rate for youth of upper secondary school age (administrative data),2019,49.36591,Female,,%,,,,Total
Rwanda,RW,RWA,646,Out-of-school rate for youth of upper secondary school age (administrative data),2019,50.23072,Male,,%,,,,Total
Rwanda,RW,RWA,646,Out-of-school rate for youth of upper secondary school age (administrative data),2019,49.79593,Total,,%,,,,Total
Saint Kitts and Nevis,KN,KNA,659,Out-of-school rate for youth of upper secondary school age (administrative data),2016,5.16827,Female,,%,,,,Total
Saint Kitts and Nevis,KN,KNA,659,Out-of-school rate for youth of upper secondary school age (administrative data),2016,3.7831,Male,,%,,,,Total
Saint Kitts and Nevis,KN,KNA,659,Out-of-school rate for youth of upper secondary school age (administrative data),2016,4.49231,Total,,%,,,,Total
Saint Lucia,LC,LCA,662,Out-of-school rate for youth of upper secondary school age (administrative data),2020,18.67188,Female,,%,,,,Total
Saint Lucia,LC,LCA,662,Out-of-school rate for youth of upper secondary school age (administrative data),2020,14.3188,Male,,%,,,,Total
Saint Lucia,LC,LCA,662,Out-of-school rate for youth of upper secondary school age (administrative data),2020,16.48224,Total,,%,,,,Total
St. Vincent and the Grenadines,VC,VCT,670,Out-of-school rate for youth of upper secondary school age (administrative data),2019,17.48449,Female,,%,,,,Total
St. Vincent and the Grenadines,VC,VCT,670,Out-of-school rate for youth of upper secondary school age (administrative data),2019,17.92059,Male,,%,,,,Total
St. Vincent and the Grenadines,VC,VCT,670,Out-of-school rate for youth of upper secondary school age (administrative data),2019,17.71088,Total,,%,,,,Total
Samoa,WS,WSM,882,Out-of-school rate for youth of upper secondary school age (administrative data),2019,10.60045,Female,,%,,,,Total
Samoa,WS,WSM,882,Out-of-school rate for youth of upper secondary school age (administrative data),2019,21.47587,Male,,%,,,,Total
Samoa,WS,WSM,882,Out-of-school rate for youth of upper secondary school age (administrative data),2019,16.22574,Total,,%,,,,Total
San Marino,SM,SMR,674,Out-of-school rate for youth of upper secondary school age (administrative data),2020,62.04188,Female,,%,,,,Total
San Marino,SM,SMR,674,Out-of-school rate for youth of upper secondary school age (administrative data),2020,53.26203,Male,,%,,,,Total
San Marino,SM,SMR,674,Out-of-school rate for youth of upper secondary school age (administrative data),2020,57.21012,Total,,%,,,,Total
Sao Tome and Principe,ST,STP,678,Out-of-school rate for youth of upper secondary school age (administrative data),2015,15.9169,Female,,%,,,,Total
Sao Tome and Principe,ST,STP,678,Out-of-school rate for youth of upper secondary school age (administrative data),2015,18.72996,Male,,%,,,,Total
Sao Tome and Principe,ST,STP,678,Out-of-school rate for youth of upper secondary school age (administrative data),2015,17.33744,Total,,%,,,,Total
Saudi Arabia,SA,SAU,682,Out-of-school rate for youth of upper secondary school age (administrative data),2017,8.6599,Female,,%,,,,Total
Saudi Arabia,SA,SAU,682,Out-of-school rate for youth of upper secondary school age (administrative data),2017,2.75041,Male,,%,,,,Total
Saudi Arabia,SA,SAU,682,Out-of-school rate for youth of upper secondary school age (administrative data),2019,3.54278,Total,,%,,,,Total
Senegal,SN,SEN,686,Out-of-school rate for youth of upper secondary school age (administrative data),2020,78.78408,Female,,%,,,,Total
Senegal,SN,SEN,686,Out-of-school rate for youth of upper secondary school age (administrative data),2020,81.29117,Male,,%,,,,Total
Senegal,SN,SEN,686,Out-of-school rate for youth of upper secondary school age (administrative data),2020,80.04758,Total,,%,,,,Total
Serbia,RS,SRB,688,Out-of-school rate for youth of upper secondary school age (administrative data),2020,12.87407,Female,,%,,,,Total
Serbia,RS,SRB,688,Out-of-school rate for youth of upper secondary school age (administrative data),2020,15.8047,Male,,%,,,,Total
Serbia,RS,SRB,688,Out-of-school rate for youth of upper secondary school age (administrative data),2020,14.38136,Total,,%,,,,Total
Seychelles,SC,SYC,690,Out-of-school rate for youth of upper secondary school age (administrative data),2020,9.14106,Female,,%,,,,Total
Seychelles,SC,SYC,690,Out-of-school rate for youth of upper secondary school age (administrative data),2020,19.54545,Male,,%,,,,Total
Seychelles,SC,SYC,690,Out-of-school rate for youth of upper secondary school age (administrative data),2020,14.44573,Total,,%,,,,Total
Sierra Leone,SL,SLE,694,Out-of-school rate for youth of upper secondary school age (administrative data),2018,66.7124,Female,,%,,,,Total
Sierra Leone,SL,SLE,694,Out-of-school rate for youth of upper secondary school age (administrative data),2018,64.19774,Male,,%,,,,Total
Sierra Leone,SL,SLE,694,Out-of-school rate for youth of upper secondary school age (administrative data),2018,65.45344,Total,,%,,,,Total
Singapore,SG,SGP,702,Out-of-school rate for youth of upper secondary school age (administrative data),2019,0.45167,Female,,%,,,,Total
Singapore,SG,SGP,702,Out-of-school rate for youth of upper secondary school age (administrative data),2019,0.10293,Male,,%,,,,Total
Singapore,SG,SGP,702,Out-of-school rate for youth of upper secondary school age (administrative data),2019,0.27337,Total,,%,,,,Total
Slovakia,SK,SVK,703,Out-of-school rate for youth of upper secondary school age (administrative data),2019,11.31391,Female,,%,,,,Total
Slovakia,SK,SVK,703,Out-of-school rate for youth of upper secondary school age (administrative data),2019,11.37736,Male,,%,,,,Total
Slovakia,SK,SVK,703,Out-of-school rate for youth of upper secondary school age (administrative data),2019,11.34644,Total,,%,,,,Total
Slovenia,SI,SVN,705,Out-of-school rate for youth of upper secondary school age (administrative data),2019,0.95899,Female,,%,,,,Total
Slovenia,SI,SVN,705,Out-of-school rate for youth of upper secondary school age (administrative data),2019,1.44916,Male,,%,,,,Total
Slovenia,SI,SVN,705,Out-of-school rate for youth of upper secondary school age (administrative data),2019,1.21207,Total,,%,,,,Total
Solomon Islands,SB,SLB,90,Out-of-school rate for youth of upper secondary school age (administrative data),2017,34.25874,Total,,%,,,,Total
South Africa,ZA,ZAF,710,Out-of-school rate for youth of upper secondary school age (administrative data),2019,20.39706,Female,,%,,,,Total
South Africa,ZA,ZAF,710,Out-of-school rate for youth of upper secondary school age (administrative data),2019,21.47909,Male,,%,,,,Total
South Africa,ZA,ZAF,710,Out-of-school rate for youth of upper secondary school age (administrative data),2019,20.94147,Total,,%,,,,Total
South Sudan,SS,SSD,728,Out-of-school rate for youth of upper secondary school age (administrative data),2015,71.93627,Female,,%,,,,Total
South Sudan,SS,SSD,728,Out-of-school rate for youth of upper secondary school age (administrative data),2015,56.81621,Male,,%,,,,Total
South Sudan,SS,SSD,728,Out-of-school rate for youth of upper secondary school age (administrative data),2015,64.30673,Total,,%,,,,Total
Spain,ES,ESP,724,Out-of-school rate for youth of upper secondary school age (administrative data),2018,1.10633,Female,,%,,,,Total
Spain,ES,ESP,724,Out-of-school rate for youth of upper secondary school age (administrative data),2018,2.17703,Male,,%,,,,Total
Spain,ES,ESP,724,Out-of-school rate for youth of upper secondary school age (administrative data),2019,0.81742,Total,,%,,,,Total
Sri Lanka,LK,LKA,144,Out-of-school rate for youth of upper secondary school age (administrative data),2018,13.49414,Female,,%,,,,Total
Sri Lanka,LK,LKA,144,Out-of-school rate for youth of upper secondary school age (administrative data),2018,18.08832,Male,,%,,,,Total
Sri Lanka,LK,LKA,144,Out-of-school rate for youth of upper secondary school age (administrative data),2018,15.78832,Total,,%,,,,Total
"Palestinian Territory, Occupied",PS,PSE,275,Out-of-school rate for youth of upper secondary school age (administrative data),2020,16.05891,Female,,%,,,,Total
"Palestinian Territory, Occupied",PS,PSE,275,Out-of-school rate for youth of upper secondary school age (administrative data),2020,30.66601,Male,,%,,,,Total
"Palestinian Territory, Occupied",PS,PSE,275,Out-of-school rate for youth of upper secondary school age (administrative data),2020,23.48724,Total,,%,,,,Total
Sudan,SD,SDN,736,Out-of-school rate for youth of upper secondary school age (administrative data),2018,49.70828,Female,,%,,,,Total
Sudan,SD,SDN,736,Out-of-school rate for youth of upper secondary school age (administrative data),2018,53.49484,Male,,%,,,,Total
Sudan,SD,SDN,736,Out-of-school rate for youth of upper secondary school age (administrative data),2018,51.6245,Total,,%,,,,Total
Suriname,SR,SUR,740,Out-of-school rate for youth of upper secondary school age (administrative data),2015,33.54758,Female,,%,,,,Total
Suriname,SR,SUR,740,Out-of-school rate for youth of upper secondary school age (administrative data),2015,42.00078,Male,,%,,,,Total
Suriname,SR,SUR,740,Out-of-school rate for youth of upper secondary school age (administrative data),2015,37.91468,Total,,%,,,,Total
Sweden,SE,SWE,752,Out-of-school rate for youth of upper secondary school age (administrative data),2015,2.84783,Female,,%,,,,Total
Sweden,SE,SWE,752,Out-of-school rate for youth of upper secondary school age (administrative data),2015,1.42353,Male,,%,,,,Total
Sweden,SE,SWE,752,Out-of-school rate for youth of upper secondary school age (administrative data),2016,1.32312,Total,,%,,,,Total
Switzerland,CH,CHE,756,Out-of-school rate for youth of upper secondary school age (administrative data),2019,20.45611,Female,,%,,,,Total
Switzerland,CH,CHE,756,Out-of-school rate for youth of upper secondary school age (administrative data),2019,17.39128,Male,,%,,,,Total
Switzerland,CH,CHE,756,Out-of-school rate for youth of upper secondary school age (administrative data),2019,18.89084,Total,,%,,,,Total
Tajikistan,TJ,TJK,762,Out-of-school rate for youth of upper secondary school age (administrative data),2017,26.77582,Female,,%,,,,Total
Tajikistan,TJ,TJK,762,Out-of-school rate for youth of upper secondary school age (administrative data),2017,18.69776,Male,,%,,,,Total
Tajikistan,TJ,TJK,762,Out-of-school rate for youth of upper secondary school age (administrative data),2017,22.63631,Total,,%,,,,Total
Thailand,TH,THA,764,Out-of-school rate for youth of upper secondary school age (administrative data),2015,20.96038,Female,,%,,,,Total
Thailand,TH,THA,764,Out-of-school rate for youth of upper secondary school age (administrative data),2015,20.87599,Male,,%,,,,Total
Thailand,TH,THA,764,Out-of-school rate for youth of upper secondary school age (administrative data),2015,20.91719,Total,,%,,,,Total
Timor-Leste,TL,TLS,626,Out-of-school rate for youth of upper secondary school age (administrative data),2019,21.68957,Female,,%,,,,Total
Timor-Leste,TL,TLS,626,Out-of-school rate for youth of upper secondary school age (administrative data),2019,26.70107,Male,,%,,,,Total
Timor-Leste,TL,TLS,626,Out-of-school rate for youth of upper secondary school age (administrative data),2019,24.22807,Total,,%,,,,Total
Togo,TG,TGO,768,Out-of-school rate for youth of upper secondary school age (administrative data),2017,65.58817,Female,,%,,,,Total
Togo,TG,TGO,768,Out-of-school rate for youth of upper secondary school age (administrative data),2017,46.62264,Male,,%,,,,Total
Togo,TG,TGO,768,Out-of-school rate for youth of upper secondary school age (administrative data),2017,56.0761,Total,,%,,,,Total
Tokelau,TK,TKL,772,Out-of-school rate for youth of upper secondary school age (administrative data),2020,28.57143,Female,,%,,,,Total
Tokelau,TK,TKL,772,Out-of-school rate for youth of upper secondary school age (administrative data),2020,30.55556,Male,,%,,,,Total
Tokelau,TK,TKL,772,Out-of-school rate for youth of upper secondary school age (administrative data),2020,29.57746,Total,,%,,,,Total
Tonga,TO,TON,776,Out-of-school rate for youth of upper secondary school age (administrative data),2020,32.80182,Female,,%,,,,Total
Tonga,TO,TON,776,Out-of-school rate for youth of upper secondary school age (administrative data),2020,49.34014,Male,,%,,,,Total
Tonga,TO,TON,776,Out-of-school rate for youth of upper secondary school age (administrative data),2020,41.35123,Total,,%,,,,Total
Trinidad and Tobago,TT,TTO,780,Out-of-school rate for youth of upper secondary school age (administrative data),2020,25.0056,Female,,%,,,,Total
Trinidad and Tobago,TT,TTO,780,Out-of-school rate for youth of upper secondary school age (administrative data),2020,26.50642,Male,,%,,,,Total
Trinidad and Tobago,TT,TTO,780,Out-of-school rate for youth of upper secondary school age (administrative data),2020,25.76558,Total,,%,,,,Total
Turks and Caicos Islands,TC,TCA,796,Out-of-school rate for youth of upper secondary school age (administrative data),2020,41.31148,Female,,%,,,,Total
Turks and Caicos Islands,TC,TCA,796,Out-of-school rate for youth of upper secondary school age (administrative data),2020,48.0315,Male,,%,,,,Total
Turks and Caicos Islands,TC,TCA,796,Out-of-school rate for youth of upper secondary school age (administrative data),2020,44.73896,Total,,%,,,,Total
Tuvalu,TV,TUV,798,Out-of-school rate for youth of upper secondary school age (administrative data),2020,61.29032,Female,,%,,,,Total
Tuvalu,TV,TUV,798,Out-of-school rate for youth of upper secondary school age (administrative data),2020,67.87709,Male,,%,,,,Total
Tuvalu,TV,TUV,798,Out-of-school rate for youth of upper secondary school age (administrative data),2020,64.66381,Total,,%,,,,Total
Turkey,TR,TUR,792,Out-of-school rate for youth of upper secondary school age (administrative data),2019,19.31788,Female,,%,,,,Total
Turkey,TR,TUR,792,Out-of-school rate for youth of upper secondary school age (administrative data),2019,17.09841,Male,,%,,,,Total
Turkey,TR,TUR,792,Out-of-school rate for youth of upper secondary school age (administrative data),2019,18.18393,Total,,%,,,,Total
